stratum,n,r2,rmse,mae,mape
BL_ISU_ILCC,144164,0.9959452748298645,1.568316277354807,0.9416787028312683,5.674835
BL_Stanford_2,27619,0.9962577819824219,1.2150644672229336,0.818047821521759,9056166.0
BL_HUST,23690,0.920985221862793,2.2403320716900144,1.5221312046051025,1.5930848
BL_MATR,19788,0.9502454996109009,1.4510369834997765,1.0540584325790405,1.1802443
BL_SNL,16035,0.9803102016448975,1.6273185621813033,1.1660306453704834,1.4537872
BL_RWTH,14843,0.9717339873313904,2.303081612456505,1.6727192401885986,5.2655053
BL_ZN-coin,14161,0.9224799871444702,5.577938472076095,4.087963104248047,5.032564
BL_Tongji,10145,0.9557308554649353,1.3813204717135525,0.987176775932312,1.263551
BL_SDU,8032,0.962719738483429,1.8159101567583713,1.3103104829788208,1.512337
BL_Stanford,5516,0.9982087016105652,0.8664956640915377,0.6094270348548889,6548527.5
BL_MICH,3122,0.9929209351539612,1.5198734947314472,1.091068983078003,16238562.0
BL_CALCE,2359,0.9774439930915833,2.54802485995539,1.906862735748291,3.2242603
BL_HNEI,2161,0.990895688533783,1.7248784478525823,1.368919849395752,5191960.0
BL_NA-ion,2009,0.9281224608421326,1.2733799740020226,0.8879959583282471,1.081473
CALCE_CX2_type_1,1568,0.9120880365371704,4.4572606207412795,3.4709839820861816,3.972812
CALCE_CX2_type_2,1425,0.8232277631759644,6.571880212510564,5.254703998565674,6.700505
BL_XJTU,951,0.9129307866096497,1.312259606644359,0.939115583896637,1.0301889
BL_MICH_EXP,719,0.6041585206985474,4.0769087925454475,3.575935125350952,4.3246374
CALCE_CS2_type_2,627,0.9474532008171082,4.630663522917162,2.8847994804382324,4.0562778
CALCE_CS2_type_1,545,-0.5134836435317993,16.623134881280667,15.91734504699707,21.521906
BL_UL_PUR,503,0.843613862991333,2.228592546156854,1.909428358078003,2.1290166
BL_CALB,398,0.9834237098693848,1.3185079759277696,0.9780804514884949,1.0712285
NA_PCOE,372,-0.636049747467041,20.8477122417039,18.312145233154297,5207000600.0
NA_RAND_regular_alt,60,0.9654316902160645,3.688639577869435,2.3915634155273438,5884.06
NA_RAND_second_life,35,0.9607623219490051,2.4344875598588844,2.0305862426757812,403.71027
NA_RAND_recommissioned,22,0.9665687084197998,4.5972455277993465,2.6307287216186523,11683.833
