held_out_source,n_train,n_test,dominant_chemistry,dominant_chem_pct,r2,rmse,mae,mape,fit_time_s,rmse_pct_of_range,mae_pct_of_range
BL_ISU_ILCC,1460975,1194846,NMC,100.0,-0.9656181335449219,70.27819649324924,48.93791961669922,428191580000.0,4.2,1.6893797233954142,1.1763922984783466
BL_MATR,2586637,69184,LFP,100.0,-0.5603165626525879,346.7946415928308,252.354248046875,110547490000.0,5.7,8.336409653673819,6.0662078857421875
BL_ZN-coin,2586517,69304,Zn-ion,100.0,-0.27327632904052734,372.3143203329681,247.93844604492188,450441970000.0,5.7,8.949863469542503,5.9600587991567755
BL_RWTH,2550424,105397,NMC,100.0,0.0,82.81507661085934,64.52754211425781,645275500000.0,5.6,1.9907470339148878,1.5511428392850435
BL_SNL,2585796,70025,LFP,55.0,0.34809356927871704,825.9313303780164,540.9396362304688,967892660000.0,5.6,19.854118518702315,13.0033566401555
BL_Stanford_2,2467200,188621,NMC,100.0,0.8075664043426514,120.57928213938744,76.47122192382812,26489874000.0,5.4,2.8985404360429676,1.8382505270150993
SYN_IN_BLAST_LFP_Rajasthan_extreme,2535811,120010,LFP,100.0,0.8260347843170166,132.1960399132667,32.77826690673828,35802886000.0,5.6,3.177789420991988,0.7879391083350549
SYN_IN_BLAST_LFP_Delhi_summer,2535811,120010,LFP,100.0,0.8770594000816345,141.16727389430596,35.780643463134766,1297378000.0,5.5,3.3934440839977396,0.8601116217099704
SYN_IN_BLAST_LFP_Bengaluru_mild,2535811,120010,LFP,100.0,0.917942464351654,345.7043421588742,171.4796142578125,2655783200.0,5.6,8.310200532665245,4.122106111966647
SYN_IN_BLAST_LFP_Mumbai_monsoon,2535811,120010,LFP,100.0,0.9272040128707886,238.36842053059377,109.44414520263672,8063182300.0,5.6,5.730010108908504,2.6308688750633826
