feature,mean_abs_shap
v_peak_dqdv_charge,118.61557
discharge_time_s,64.49596
i_mean,56.964546
q_at_v_lo,55.5178
cycle_count_so_far,42.960308
charge_time_s,24.879799
v_max,20.864807
v_min,14.404613
dqdv_peak_height_charge,14.3813715
i_max,12.68475
v_peak_dqdv_discharge,11.968083
v_mean,11.4735985
coulombic_eff,9.174877
i_min,8.287501
nominal_Ah,7.3245015
dqdv_peak_width_charge,6.317299
q_at_v_hi,5.4650702
dqdv_peak_height_discharge,4.626736
dqdv_peak_width_discharge,3.0009677
chemistry_LFP,2.596822
form_factor_cylindrical_other,1.1955347
chemistry_NCA,0.7462227
chemistry_LCO,0.49159175
form_factor_18650,0.1844524
form_factor_pouch,0.15930793
chemistry_Na-ion,0.11730272
form_factor_prismatic,0.060607966
form_factor_21700,0.042261146
form_factor_other,0.008138667
chemistry_NMC,0.006771014
chemistry_other,0.0033099095
chemistry_Zn-ion,0.0
